com_id,year,cand_id,name,party,state,district,0,1,2,3,median,mean,individual,pac
N00002577,2016,H6GA05217,John Lewis ,D,GA,GA05,786075.0,200000.0,0.0,0.0,500.0,762.9364406779662,360106.0,602269.0
N00002593,2016,S6GA00119,Johnny Isakson ,R,GA,GAS2,6945646.0,1059494.0,26298.0,37356.0,500.0,839.7998684426905,5106823.0,4906287.0
N00002656,2016,S4GA11210,Jack Kingston ,R,GA,GAS1,0.0,0.0,0.0,0.0,-2600.0,-2043.75,-32700.0,0.0
N00002674,2016,H2GA02031,Sanford Bishop ,D,GA,GA02,906497.0,205000.0,0.0,0.0,500.0,959.9573770491804,292787.0,802210.0
N00002685,2016,S2GA00118,Saxby Chambliss ,R,GA,GAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0
N00002713,2016,H2FL03056,Corrine Brown ,D,FL,FL05,346179.0,115000.0,0.0,0.0,1000.0,1106.9247311827958,102944.0,341400.0
N00002776,2016,H6WY01033,Richard Grayson ,D,ID,ID02,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
N00002782,2016,H8FL06056,Cliff Stearns ,R,FL,FL03,0.0,0.0,12858.0,0.0,12858.0,12858.0,12858.0,0.0
N00002793,2016,H2FL08055,John L Mica ,R,FL,FL07,1282335.0,271663.0,23333.0,39960.0,500.0,737.4726688102893,688062.0,1716036.0
N00002858,2016,H0FL18025,Ileana Ros-Lehtinen ,R,FL,FL27,1243426.0,240000.0,0.0,15540.0,500.0,1025.5423925667826,882992.0,658774.0
N00002884,2016,H2FL23021,Alcee L Hastings ,D,FL,FL20,662133.0,135000.0,0.0,0.0,500.0,910.6754966887418,412536.0,361847.0
N00002893,2016,H2FL14053,Lois J Frankel ,D,FL,FL21,1522135.0,197400.0,0.0,0.0,50.0,470.9321305841925,1096330.0,568328.0
N00002942,2016,H6FL13205,Charlie Crist ,D,FL,FL13,1508570.0,370582.0,73631.0,15000.0,500.0,1094.3491271820446,1316502.0,1308367.0
N00003028,2016,H6AL04098,Robert B Aderholt ,R,AL,AL04,1220180.0,165000.0,0.0,0.0,500.0,888.7599164926932,425716.0,935713.0
N00003062,2016,S6AL00195,Jeff Sessions ,R,AL,ALS1,108349.0,10000.0,0.0,0.0,500.0,734.9189189189191,27192.0,88157.0
N00003105,2016,H2TN06030,Marsha Blackburn ,R,TN,TN07,1914903.0,186200.0,0.0,0.0,500.0,919.7307236061683,775333.0,1286395.0
N00003132,2016,H2TN05131,Jim Cooper ,D,TN,TN05,548910.0,90200.0,0.0,0.0,500.0,638.3446712018141,281510.0,345500.0
N00003209,2016,H8TN02069,John J Duncan Jr ,R,TN,TN02,327571.0,55400.0,0.0,0.0,500.0,624.0963855421687,103600.0,258871.0
N00003225,2016,H6TN09068,Steve Cohen ,D,TN,TN09,543600.0,75000.0,0.0,0.0,500.0,822.3232323232322,162820.0,436780.0
N00003280,2016,S8MS00196,Roger Wicker ,R,MS,MSS2,278604.0,70000.0,0.0,0.0,775.0,1059.8082191780825,77366.0,263238.0
N00003288,2016,H4MS02068,Bennie G Thompson ,D,MS,MS02,825150.0,195000.0,0.0,0.0,500.0,791.5760869565217,145650.0,862000.0
N00003328,2016,S8MS00055,Thad Cochran ,R,MS,MSS1,937634.0,145300.0,0.0,0.0,1000.0,1209.3805668016196,597434.0,464500.0
N00003389,2016,S2KY00012,Mitch McConnell ,R,KY,KYS1,1196943.0,250000.0,0.0,0.0,1000.0,1088.6855072463768,751193.0,649300.0
N00003467,2016,H4KY01040,Ed Whitfield ,R,KY,KY01,73833.0,0.0,0.0,0.0,500.0,110.24590163934427,13450.0,0.0
N00003473,2016,H0KY05015,Hal Rogers ,R,KY,KY05,1042457.0,290000.0,10000.0,0.0,800.0,965.3203342618384,346550.0,961907.0
N00003522,2016,H2OH09031,Marcy Kaptur ,D,OH,OH09,651299.0,160400.0,0.0,0.0,250.0,502.9856801909308,210751.0,587131.0
N00003535,2016,S6OH00163,Sherrod Brown ,D,OH,OHS1,2748743.0,179200.0,10000.0,0.0,25.0,198.541443053071,1997724.0,690109.0
N00003545,2016,H4OH19036,Steve LaTourette ,R,OH,OH14,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,4500.0
N00003674,2016,H8OH02041,Charles W Sanders ,D,OH,OH03,6509.0,0.0,0.0,0.0,250.0,154.97619047619048,6509.0,0.0
N00003675,2016,H0OH08029,John Boehner ,R,OH,OH08,4416818.0,57400.0,0.0,0.0,600.0,803.8602008456661,3041807.0,2661.0
N00003682,2016,S0OH00133,Rob Portman ,R,OH,OHS2,17429299.0,1745407.0,73059.0,141127.0,500.0,872.9523338485318,14120004.0,19931593.0
N00003689,2016,H8OH01043,Steve Chabot ,R,OH,OH01,875420.0,110000.0,11700.0,0.0,500.0,823.6864864864865,457146.0,530474.0
N00003730,2016,H6OH06038,Ted Strickland ,D,OH,OHS2,9291419.0,1155775.0,407254.0,535278.0,50.0,243.13794606532605,8366863.0,33894621.0
N00003762,2016,S8IN00049,Evan Bayh ,D,IN,INS2,2973812.0,615363.0,220607.0,111505.0,500.0,980.5606171932403,2669086.0,20744987.0
N00003796,2016,H8IN01096,Mark J Leyva ,R,IN,IN01,149.0,0.0,0.0,0.0,149.0,149.0,149.0,0.0
N00003813,2016,H4IN01012,Pete Visclosky ,D,IN,IN01,808907.0,190000.0,0.0,0.0,525.0,872.1743589743588,340148.0,653159.0
N00003845,2016,S0IN00053,Dan Coats ,R,IN,INS2,102950.0,10000.0,0.0,0.0,-2400.0,-1302.3809523809525,-109400.0,-12600.0
N00003875,2016,S0IN00061,Baron Hill ,D,IN,INS2,1290833.0,245800.0,0.0,0.0,250.0,493.844568484328,1150164.0,339633.0
N00003950,2016,H2MI17023,Sander Levin ,D,MI,MI09,978245.0,305000.0,0.0,0.0,500.0,692.4177631578948,210495.0,1054750.0
N00004029,2016,H6MI01028,John Conyers Jr ,D,MI,MI13,400640.0,135446.0,0.0,0.0,50.0,300.328125,153768.0,371576.0
N00004118,2016,S8MI00281,Debbie Stabenow ,D,MI,MIS2,2338247.0,140400.0,10000.0,0.0,500.0,914.6272479564032,1678341.0,781208.0
N00004133,2016,H6MI04113,Fred Upton ,R,MI,MI06,2087661.0,935000.0,39396.0,38604.0,500.0,813.7817531305902,909808.0,2185803.0
N00004207,2016,S4IA00020,Tom Harkin ,D,IA,IAS2,1250.0,0.0,0.0,0.0,-1500.0,-1388.888888888889,-12500.0,1250.0
N00004227,2016,H4IA05102,Tom Latham ,R,IA,IA03,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,-2500.0
N00004231,2016,S0IA00101,Bob Krause ,D,IA,IAS1,5807.0,0.0,0.0,0.0,750.0,967.8333333333335,5807.0,0.0
N00004291,2016,H8WI09050,F James Sensenbrenner Jr ,R,WI,WI05,332925.0,20000.0,0.0,0.0,500.0,775.3189189189189,143434.0,205991.0
N00004357,2016,H8WI01024,Paul Ryan ,R,WI,WI01,18760055.0,1490562.0,30000.0,75000.0,100.0,448.57085983006476,16788213.0,3330148.0
N00004367,2016,S2WI00219,Tammy Baldwin ,D,WI,WIS1,1175333.0,75400.0,10000.0,0.0,25.0,124.18059299191374,921420.0,309515.0
N00004403,2016,H6WI03099,Ron Kind ,D,WI,WI03,1789963.0,335400.0,0.0,0.0,500.0,613.3872403560831,413423.0,1686640.0
N00004426,2016,H0WI06061,Tom Petri ,R,WI,WI06,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,2500.0
N00004436,2016,H8MN06047,John Kline ,R,MN,MN02,548507.0,265600.0,20800.0,0.0,500.0,854.6988304093567,292307.0,318000.0
N00004558,2016,H2MN07014,Collin Peterson ,D,MN,MN07,915994.0,205000.0,0.0,17500.0,500.0,599.2166666666667,143812.0,972582.0
N00004565,2016,S8SD00024,Larry Pressler ,I,SD,SDS2,1060.0,0.0,0.0,0.0,10.0,10.0,10.0,1050.0
N00004572,2016,S2SD00068,John Thune ,R,SD,SDS1,4296760.0,665000.0,10000.0,0.0,100.0,412.1921083430864,2465321.0,2450561.0
N00004578,2016,S4SD00056,Rick Weiland ,D,SD,SDS2,411.0,0.0,0.0,0.0,-1.0,15.190476190476188,319.0,0.0
N00004614,2016,H0ND01026,Kevin Cramer ,R,ND,ND01,1076269.0,238200.0,0.0,0.0,500.0,730.3265306122448,429432.0,817687.0
N00004671,2016,H8IL08044,David McSweeney ,R,IL,IL08,500.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
N00004719,2016,H6IL06117,Peter Roskam ,R,IL,IL06,2438688.0,426400.0,12282.0,17330.0,300.0,697.8662921348315,1242202.0,1600593.0
N00004724,2016,H8IL09067,Jan Schakowsky ,D,IL,IL09,1061973.0,135000.0,0.0,0.0,200.0,473.00355871886114,797484.0,378757.0
N00004766,2016,S6IL00185,Robert Marshall ,D,IL,IL06,500.0,0.0,0.0,0.0,500.0,500.0,500.0,0.0
N00004874,2016,H2IL08039,Luis V Gutierrez ,D,IL,IL04,372101.0,170000.0,0.0,0.0,500.0,839.3141762452108,219061.0,312974.0
N00004884,2016,H4IL07037,Danny K Davis ,D,IL,IL07,471299.0,125000.0,0.0,0.0,400.0,515.3734939759037,42776.0,529457.0
N00004887,2016,H2IL01042,Bobby L Rush ,D,IL,IL01,500257.0,135000.0,0.0,0.0,2600.0,1823.4736842105265,138584.0,482607.0
N00004956,2016,H8IL21021,Jerry F Costello ,D,IL,IL12,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0
N00004961,2016,H2IL20042,John M Shimkus ,R,IL,IL15,2649700.0,489575.0,40000.0,16982.0,500.0,680.4882681564246,609037.0,2795967.0
N00004981,2016,S6IL00151,Dick Durbin ,D,IL,ILS1,754939.0,85000.0,0.0,0.0,100.0,290.76750400855155,544026.0,234200.0
N00005181,2016,H0MO00019,Russ Carnahan ,D,MO,MO01,1550.0,0.0,0.0,0.0,100.0,137.5,550.0,1000.0
N00005195,2016,S0MO00183,Roy Blunt ,R,MO,MOS1,9393367.0,2934802.0,314764.0,35328.0,500.0,943.8760432343686,6898790.0,15805136.0
N00005282,2016,S0KS00091,Jerry Moran ,R,KS,KSS2,2922509.0,907000.0,10800.0,0.0,500.0,721.4338842975206,1396696.0,2158129.0
N00005285,2016,S6KS00080,Pat Roberts ,R,KS,KSS1,431905.0,60000.0,0.0,0.0,500.0,771.2066115702478,93316.0,370389.0
N00005293,2016,H4NE02054,Brad Ashford ,D,NE,NE02,2479099.0,301200.0,122218.0,232540.0,100.0,315.8880208333333,1455612.0,6081315.0
N00005329,2016,S6NE00095,Ben Nelson ,D,NE,NES2,0.0,0.0,10000.0,0.0,-1000.0,-1415.625,-90600.0,10000.0
N00005345,2016,S0LA00071,David Duke ,R,LA,LAS2,74663.0,7045.0,0.0,0.0,500.0,624.2627118644067,73663.0,7045.0
N00005395,2016,S6LA00227,Mary L Landrieu ,D,LA,LAS1,8184.0,5685.0,0.0,0.0,-10.0,46.523809523809526,977.0,-16231.0
N00005437,2016,H0LA08017,Clyde C Holloway ,R,LA,LA05,1500.0,12500.0,0.0,0.0,3250.0,3500.0,14000.0,0.0
N00005455,2016,H6AR01072,Marion Berry ,D,AR,AR01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0
N00005459,2016,H4AR02133,Patrick Henry Hays ,D,AR,AR02,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0
N00005559,2016,H4OK06056,Frank D Lucas ,R,OK,OK03,1031867.0,195000.0,0.0,0.0,500.0,730.8773784355179,345705.0,871162.0
N00005582,2016,S4OK00083,James M Inhofe ,R,OK,OKS2,365045.0,50000.0,0.0,0.0,500.0,827.2983425414365,149741.0,249304.0
N00005600,2016,H6OK03165,Evelyn Rogers ,R,OK,OK01,1134.0,0.0,0.0,0.0,9.5,56.7,1134.0,0.0
