cand_id,name,party,state,donoSetOne,donoSetTwo,donoSetThree,donoSetFour,median,mean,individual,pac
H8MI01107,Tom Casperson,R,MI,382102,57007,0,0,500,814.4924623,324168,362918
H8OH16066,Kirk Schuring,R,OH,3000,0,0,0,0,0,0,2700
H8TX10060,Dan Grant,D,TX,341,0,0,0,341,341,341,0
H8CA52052,Duncan D Hunter,R,CA,971102,80800,0,0,500,830.0835821,278078,752674
S6AZ00225,Ann Kirkpatrick,D,AZ,8012786,710544,37444,0,35,153.2533475,7496694,1931103
H8CA50049,Steve Schechter,D,CA,1000,0,0,0,0,0,0,1000
H8IL18043,Aaron Schock,R,IL,153250,42700,0,0,1000,686.1842105,52150,45000
S4MI00355,Gary Peters,D,MI,869899,100400,0,0,500,612.09,489672,464185
H8TX22107,Pete Olson,R,TX,1339454,198600,0,0,500,968.8965517,533862,931892
S8OR00207,Jeff Merkley,D,OR,501951,25000,0,0,25,140.5373134,414304,86890
H8MN03069,Terri Bonoff,D,MN,1785994,212800,0,0,250,602.6118113,1673453,409238
H8MN03077,Erik Paulsen,R,MN,4282546,859552,108239,161721,500,815.2981766,2280389,5862661
H6NM01111,Michelle Lujan Grisham,D,NM,1747312,155000,0,0,250,442.5062086,1069095,761699
H8NY01148,Lee Zeldin,R,NY,3592899,309975,25879,182472,500,736.7273465,2723681,2465567
H8NY13069,Domenic Recchia,D,NY,250,0,0,0,-1,82.66666667,248,0
S8ID00092,James E Risch,R,ID,113964,25000,0,0,1000,1124.576271,66350,70114
S8VA00230,Julien Modica,D,VA,3250,0,0,0,1625,1625,3250,0
H8VA01147,Rob Wittman,R,VA,879892,60000,0,0,500,737.8929188,427240,495652
H8IN07176,David Orentlicher,D,IN,214018,5000,0,0,500,727.6853147,208118,5500
H8IN07184,Andre Carson,D,IN,926469,145000,0,0,439,590.1268657,474462,591806
H8NM03196,Ben R Lujan,D,NM,1865499,365400,0,0,500,602.8254211,787290,1393642
H8OH15076,Steve Stivers,R,OH,2441658,365000,0,0,500,1084.02537,1025488,1752320
S8KS00227,Greg Orman,I,KS,680,8100,0,37500,18500,17656,88280,0
S8NC00239,Kay R Hagan,D,NC,6037,0,0,0,-10,-55.53846154,-722,2537
H8MS03067,Gregg Harper,R,MS,834265,115000,0,0,1000,929.0723982,410650,531615
